hostname,st_spectype,st_mass,st_teff,st_rad,st_lum,st_logg,st_met,sy_dist
"Kepler-936",,1.034000,5610.00,1.171000,,4.316000,0.3800,823.39900000
"Kepler-55",,0.645000,4505.00,0.658000,,4.610000,-0.2000,578.79600000
"Kepler-948",,0.928000,5447.00,0.917000,,4.481000,0.1600,868.01700000
"Kepler-917",,0.800000,4894.00,0.550000,,4.870000,,3460.51000000
"Kepler-1269",,1.020000,5850.00,1.080000,,4.380000,,1097.23000000
"Kepler-320",,1.084000,6412.00,1.040000,,4.440000,-0.3000,826.61300000
"Kepler-474",,0.911000,5716.00,1.344000,,4.141000,-0.1600,841.49600000
"Kepler-205",,0.570000,4121.00,0.553000,,4.709000,-0.3400,159.72000000
"Kepler-274",,1.080000,5954.00,1.100000,,4.380000,0.0700,1333.62000000
"Kepler-1107",,0.879000,5203.00,0.865000,,4.508000,0.2200,428.79800000
"CoRoT-27",,1.010000,5665.00,1.383990,0.24976,4.160130,,1010.28000000
"Kepler-298",,0.660000,4655.00,0.635000,,4.650000,,518.20400000
"Kepler-1599",,1.020000,5737.00,1.336220,0.24119,4.194910,,1328.20000000
"Kepler-951",,0.769000,4855.00,0.778000,,4.542000,0.1200,382.50900000
"Kepler-1098",,0.852000,5753.00,0.880000,,4.479000,-0.3400,1049.19000000
"GJ 15 A","M2 V",0.375000,3567.00,0.386300,-1.66300,4.900000,-0.3200,3.56228000
"HAT-P-4","F",1.260000,5907.00,1.590000,0.43000,,0.3300,320.45100000
"LP 729-55",,0.143159,2978.00,0.173016,-2.67344,5.117710,,22.06710000
"kap And","B9 IVn",2.768000,11327.00,2.109000,1.79660,4.174000,0.0000,50.01770000
"LTT 3780","M4 V",0.401000,3331.00,0.374000,,4.896000,0.2800,21.98140000
"TOI-5624",,0.858000,5327.00,0.820000,-0.31336,4.490000,-0.0230,101.91300000
"TOI-5786",,1.227000,6280.00,1.334750,0.39733,4.276110,,192.47500000
"XO-3",,0.580000,6429.00,1.540000,,3.950000,-0.1800,213.05300000
"KELT-6",,1.126000,6272.00,1.530000,,,-0.2700,240.72600000
"Kepler-762",,1.070000,5897.00,1.381880,0.31816,4.186510,,1898.26000000
"GJ 317",,0.453271,3492.73,0.431834,,4.822436,0.3007,15.19680000
"Kepler-521",,1.225000,6652.00,1.699000,,4.065000,-0.3200,830.63800000
"Kepler-1982",,1.146000,6246.00,1.233000,,,0.0000,558.85500000
"Kepler-763",,0.813000,5194.00,0.730000,,4.630000,,962.45900000
"CoRoT-2",,0.997000,5598.00,0.901000,,4.527000,0.0400,213.28300000
"HD 114386",,0.540000,4804.00,,,4.360000,-0.0800,27.92430000
"WASP-195",,1.300000,6300.00,1.578000,,4.140000,0.0000,484.85200000
"Kepler-1730",,1.009000,5942.00,1.142000,,4.327000,-0.0400,1427.08000000
"Kepler-1169",,1.188000,6028.00,1.201000,,,0.2300,522.82300000
"Kepler-109",,1.009000,5945.00,1.302000,,4.213000,-0.0800,474.86100000
"TOI-757","K0 V",0.800000,5278.00,0.780000,-0.37675,4.500000,-0.2700,60.34180000
"TOI-1937 A",,1.020000,5707.00,1.070150,0.03922,4.387780,,415.13500000
"Kepler-1712",,0.510000,3741.00,0.490000,,4.765000,0.0300,156.26400000
"Kepler-1526",,0.730000,4601.00,0.690000,,4.620000,-0.0100,555.57400000
"Kepler-311",,1.120000,6285.00,1.120000,,4.380000,,778.65400000
"Kepler-1983",,0.812000,5135.00,0.874000,,4.464000,0.1200,424.42800000
"Kepler-1859",,1.025000,6190.00,1.068000,,4.393000,-0.1600,1331.25000000
"Kepler-1651",,0.323000,3545.00,0.316000,,4.948000,-0.3600,66.40740000
"Kepler-396",,0.918000,5593.00,0.945000,,4.450000,0.0200,223.75700000
"Kepler-93",,0.866000,5648.00,0.894000,,4.472000,-0.2000,95.91150000
"Kepler-1669",,0.670000,4303.00,0.714145,-0.80265,4.556570,,543.44400000
"TOI-815","K3 V",0.776000,4869.00,0.770000,,4.510000,-0.0900,59.71170000
"WASP-37",,0.925000,5800.00,1.003000,-0.02100,4.250000,-0.4000,392.79100000
"ISO-Oph 96",,0.410000,3423.00,0.730795,-1.18009,4.323260,,140.56300000
"Kepler-514",,1.110000,5998.99,1.389380,0.35265,4.197750,0.0598,455.33600000
"Kepler-1972",,1.201000,5907.00,1.415000,,,0.2700,287.33900000
"LHS 3844","M5",0.151000,3036.00,0.189000,-2.56543,5.060000,,14.88460000
"HIP 41378",,1.245000,6371.00,1.306000,,4.320000,0.0460,106.28900000
"HD 106315","F5 V",1.079000,6256.00,1.310000,,4.235000,-0.2760,109.35300000
"LTT 1445 A",,0.257000,3340.00,0.265000,,,-0.3400,6.86929000
"HD 235088","K V",0.849000,5075.00,0.772000,-0.44370,4.550000,-0.0200,41.17060000
"GJ 9066",,0.150060,3102.00,0.180389,-2.56631,5.101910,,4.47100000
"HD 12661",,1.050000,5702.00,,,4.330000,0.3600,37.84780000
"TOI-5293 A",,0.545000,3692.00,0.502411,-1.37414,4.772350,,162.22900000
"TOI-5678",,0.970000,5516.00,0.942022,-0.13069,4.476720,,165.39300000
"Kepler-561",,0.846000,5488.00,0.900000,,4.460000,,621.37800000
"Kepler-11",,0.921000,5657.00,1.046000,,4.364000,0.0000,646.34600000
"DMPP-4",,1.220000,6275.11,1.389770,0.43107,4.238540,-0.0300,25.32840000
"TOI-5720","M3.5 +/- 1.0",0.383000,3325.00,0.383000,-1.79183,5.010000,0.0300,35.82560000
"HD 3167",,0.940000,5528.00,0.870000,,4.530000,-0.0200,47.28990000
"Kepler-1730",,0.972000,5908.00,1.110000,,4.330000,,1427.08000000
"Kepler-943",,1.027000,5619.00,1.270000,0.00860,4.239000,0.1100,2300.53000000
"Kepler-631",,0.968000,6397.00,0.989000,,4.434000,-0.5800,761.96600000
"Kepler-393",,1.315000,6735.00,1.604000,,4.144000,-0.2200,881.40400000
"TOI-3856",,0.980000,5568.00,1.128640,0.04260,4.324190,,314.44300000
"HAT-P-67 B",,0.565448,3536.00,0.572963,-1.33500,4.674210,,395.43800000
"Kepler-597",,0.925000,5627.00,0.945000,,4.453000,0.0000,663.41800000
"Kepler-1844",,1.000000,5633.00,1.362080,0.22606,4.169660,,1804.36000000
"Kepler-1530",,1.015000,5678.00,1.303000,,4.215000,0.2000,489.87600000
"Kepler-790",,0.726000,5196.00,0.772000,,4.524000,-0.3000,703.16800000
"Kepler-1669",,0.570000,4056.00,0.560000,,4.697000,-0.2300,543.44400000
"Kepler-956",,1.090000,6126.00,1.021000,,4.458000,-0.0400,544.93900000
"Kepler-122",,1.028000,6103.00,0.949000,,4.496000,-0.2000,1027.45000000
"Kepler-1855",,0.275000,3339.00,0.288000,,4.960000,0.0000,
"Kepler-93",,1.000000,5655.00,0.922487,-0.10565,4.508150,-0.1500,95.91150000
"EPIC 249893012","G8 IV/V",1.050000,5430.00,1.710000,,3.990000,0.2000,321.29600000
"Kepler-1265",,0.724000,4769.00,0.742000,,4.557000,0.0000,583.64100000
"TOI-2207",,1.170000,6146.00,1.557380,0.49386,4.121460,,373.34500000
"Kepler-10",,0.895000,5627.00,1.056000,,4.342000,-0.1500,185.50600000
"HD 5608",,1.530000,4877.00,5.140000,,3.190000,,58.11050000
"TOI-4214",,1.382000,6370.00,1.434000,0.48287,4.266000,0.2940,346.88100000
"Kepler-10",,0.871000,5599.00,1.083000,,,-0.1100,185.50600000
"Kepler-1766",,1.039000,5788.86,1.215930,0.17488,4.284870,-0.2396,501.22900000
"Kepler-423",,1.060000,5922.00,1.080000,,4.390000,0.0500,758.75300000
